20662,21859,22765,23662,26328,27785,29777,30915,30436
28121,27699,26824,26789,26670,26748,27027,26693,26765
24138,23061,22704,22671,22383,21774,20999,19865,18446
273864,293135,311121,325304,335704,338845,341738,340904,340291
280625,306091,323403,338297,346933,353879,358465,364919,371302
146489,148376,147744,146825,142838,138193,134298,128037,121704
137118,147116,159069,168559,175254,184420,194393,202447,207221
141491,158525,175381,189931,197139,203599,210022,213299,216465
54311,54943,56828,56569,56099,56344,55278,53177,51265
61130,66410,70245,75141,76221,76857,79371,79454,78608
83756,86823,88838,90052,91094,91162,89795,87469,83330
55031,59584,63594,66124,69413,70528,70220,69288,67975
50784,51883,53200,53768,54259,54435,54401,53765,52070
59970,61058,62274,63406,64326,64853,64893,63179,61077
34969,40061,44064,46743,49502,50983,51266,52115,51899
8600,9224,10030,10753,11358,12551,13334,14158,14370
9432,10160,11501,12488,13672,15171,16504,18060,19801
2996,2581,2309,1968,1711,1586,2285,1535,1306
6878,5982,5469,4746,4159,3644,3210,2757,2352
17573,16285,15228,14237,13683,12266,11171,10144,8911
7671,6856,5893,5089,4387,3829,3340,2929,2423
13615,13762,13937,14055,14343,14481,14660,14313,13618
23389,22792,22618,22451,21627,21056,20389,19398,18216
7342,7194,7237,7063,6878,7017,6939,6563,6017
12074,10839,10737,11056,10957,11135,10657,10858,10183
8591,9273,9341,8945,8620,8294,7702,7602,7160
4161,4421,4788,4079,4087,4088,4348,4351,3911
20801,20128,19975,19641,19169,18420,17689,16847,15622
6754,6228,6134,6132,6109,6106,5929,5478,4904
4109,3822,3905,4064,4085,4273,4139,4179,3898
8590,8157,8263,8341,8198,7962,7878,7783,7620
29218,29022,28123,27261,26540,26252,25079,23310,21345
12992,14667,17643,20494,24423,34244,37522,38168,37536
16290,15855,16024,16002,15948,15533,15946,15865,15706
8496,9182,9815,10156,10390,11255,11474,11326,11209
9620,9875,10680,11377,11527,11758,11602,11620,11473
25149,28377,31282,35925,39232,41100,41403,41466,40257
15030,17793,21869,24217,26380,27421,27512,27372,27023
657425,813712,879291,922757,1007569,1078545,1133300,1176314,1222434
171029,225465,259314,285437,304854,323353,330766,333795,342670
156955,169714,178610,189020,200246,205605,206446,204675,203180
357263,402231,435310,458439,495120,504618,514545,538434,561506
63582,69735,76960,83187,87014,90427,90530,88815,85786
78764,78166,76875,76275,75845,75618,73875,70563,66955
136611,196870,236476,275168,303040,320406,330100,336100,341924
